"id","policy_id","tweet_id","full_text","username","likes","retweets","created_at_twitter","sentiment_score","sentiment_label","created_at","updated_at"
"1","1","tw_9pgegba4o","Prabowo Potong Anggaran Kementerian Pendidikan Dasar & Menengah Rp8 T","@CNNIndonesia","127","148","2025-02-08T00:45:34.000Z","-4","Negatif","2026-01-12 05:07:18","2026-01-12 05:07:18"
"2","1","tw_3d2fr2l8z","Gausah heran, kan Prioritas Pendukung","@fadlier","70","180","2025-02-08T12:58:01.000Z","0","Netral","2026-01-12 05:07:20","2026-01-12 05:07:20"
"3","1","tw_xzjvcb4o7","Coba ini kau pecat2in.. pasti bisa Hemat ratusan Triliun woo.. Ups titipan Mulyono ya ","@Sudrajat_85","292","107","2025-02-08T14:15:36.000Z","-3","Netral","2026-01-12 05:07:22","2026-01-12 05:07:22"
"4","1","tw_nrgn72ri6","Oke gas, oke gas","@MikaelDewabrata","311","24","2025-02-08T16:01:22.000Z","8","Positif","2026-01-12 05:07:24","2026-01-12 05:07:24"
"5","1","tw_v75q866ol","Buat yg malas buka artikelnya, ini daftar biaya yg dipotong :","@ferizandra","406","23","2025-02-08T08:04:47.000Z","-8","Negatif","2026-01-12 05:07:26","2026-01-12 05:07:26"
"6","1","tw_sd1evyq78","Ga dipotong aja kualitas pendidikan dasar kita rendah, apalagi dipotong. Ironi sih katanya mau membangun pondasi Indonesia emas dr bayi dan anak-anak dgn makan siang bergizi gratis, tp pendidikannya ga ditingkatkan, ya kaya nimba air pake keranjang.","@Prazaag","463","101","2025-02-08T12:56:36.000Z","-5.13","Negatif","2026-01-12 05:07:28","2026-01-12 05:07:28"
"7","1","tw_zutf4z1ma","Ngentot gini amat buat makan siang gratis yg gizi nya aja gak ada. pemerintah lu semua dzalim, semoga masuk neraka paling bawah paling panas anjenggggg","@dayeqt","488","86","2025-02-08T13:13:18.000Z","-10","Negatif","2026-01-12 05:07:30","2026-01-12 05:07:30"
"8","1","tw_in99t5zrd","Pak Prabowo janjinya hanya omon² belaka","@Sialbukansiyal","286","96","2025-02-08T12:55:00.000Z","0","Netral","2026-01-12 05:07:32","2026-01-12 05:07:32"
"9","1","tw_asdhtryfc","Kalo begitu SD jdi tdk 6 tahun,,
Nantinya pendidikan di SD cuma 3 tahun,,,
Terus SMP 1,5 tahun
SMU 1,5 tahun
Bgitu kali ya???","@hadiibrahim7951","408","75","2025-02-08T12:42:32.000Z","-6.5","Negatif","2026-01-12 05:07:34","2026-01-12 05:07:34"
"10","1","tw_7zpsvcm8i","Untuk makan siang gratis ","@LenaSutanto","27","196","2025-02-08T15:46:45.000Z","0","Netral","2026-01-12 05:07:36","2026-01-12 05:07:36"
"11","1","tw_2re82c90g","batalkan aja proyek makan siang gratis, potong juga budget kepolisian karena ga sebanding sama kinerja nya","@meow_leader2","371","27","2025-02-08T13:26:36.000Z","-6","Negatif","2026-01-12 05:07:38","2026-01-12 05:07:38"
"12","1","tw_qlmiex8db","Yang di potong yang ini lhoooooo...
Biasakan baca sebelum komentar","@MakNcip","21","154","2025-02-09T05:12:34.000Z","-4","Negatif","2026-01-12 05:07:40","2026-01-12 05:07:40"
"13","1","tw_4cell37rg","mending menteri menteri, wamentri, stafsus nya yg gak bisa kerja di PECAT aja Pak Presiden 
@prabowo
 yg saya hormati, begitu juga anggaran yg memang gak penting penting banget di cut. Sehingga Anggaran pendidikan dan lainnya biarkan sesuai yg telah di anggarkan","@melankolis476","275","137","2025-02-08T12:11:12.000Z","-4","Negatif","2026-01-12 05:07:41","2026-01-12 05:07:41"
